OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior,re_mat,re_num,re_lib_serves,re_type
98,Casey,Save-a-Lot - Liberty,Grocery,"675 N Wallace Wilkinson Blvd, Liberty, KY 42539",606-787-8562,37.32321,-84.925704,"Mon-Sat 7:30-8, Sun 10-8",https://savealot.com/grocery-stores/liberty-42539-24678/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
99,Casey,Casey County Farmers' Market,Farmer's Market,"518 Middleburg St, Liberty, KY 42539",N/A,37.317821,-84.938805,Seasonal,https://www.facebook.com/pages/category/Community/Casey-County-Farmers-Market-2001803176807837/,N/A,No,No,Yes,N/A,N/A,N/A,N/A
100,Casey,Casey County Road Dept,Recycling Centers,1175 Campbellsville Street Liberty KY 42539,606-787-0703,37.32032,-84.947487,N/A,N/A,N/A,N/A,N/A,N/A,"GL, AL, FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, MRP, RUB",13,Dropoff,Government facility
101,Casey,Kentucky Career Center - Liberty,Career Services,"1 Pettyjohn Street Liberty, KY 42539",606-787-1405,37.316506,-84.940152,Mon-Fri 8-4:30,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,Casey,Casey County Public Library,Library,"238 Middlesburg Street Liberty, KY 42539-3002",606-787-9381,37.316471,-84.935906,"Mon-Fri 9-6, Sat 9-3",http://www.caseyLibrary.org,N/A,N/A,N/A,N/A,N/A,N/A,"Free classes, Free WiFi, free ebooks",
103,Casey,Casey County Extension,Cooperative Extension Offices,"1517 S. Wallace Wilkinson Blvd. Liberty, KY 42539-9805",606-787-7384,37.298426,-84.948841,"Mon-Fri 8-4:30, closed daily from 12-1",http://casey.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,Clark,Kroger - Winchester,Grocery,"1661 Bypass Rd, KY-1958, Winchester, KY 40391",859-745-4959,37.99432,-84.217801,Everday 6-midnight,https://www.kroger.com/stores/details/024/00402?cid=loc_02400402_gmb,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
105,Clark,Save-a-Lot - Winchester,Grocery,"755 Ecton Rd, Winchester, KY 40391",859-744-6259,38.002162,-84.151344,Everyday 9-9,https://savealot.com/grocery-stores/winchester-40391-24651/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
106,Clark,Walmart Supercenter - Winchester,Grocery,"1859 Bypass Rd, Winchester, KY 40391",859-744-5070,37.988008,-84.210716,24/7,https://www.walmart.com/store/702/winchester-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
107,Clark,South Main Grocery Store,Grocery,"385 S Main St, Winchester, KY 40391",859-744-8268,37.984268,-84.181357,Mon-Sat 9-7,https://south-main-grocery.hub.biz/?fbclid=IwAR39-4hTCMwsaaE_qR70HqVHQaeRaw5umJgsj8onaMxg8HauXlL0SiHiLgY,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A
108,Clark,Beech Spring Farm Market,Produce Market,"4776 Old Boonesboro Rd, Winchester, KY 40391",859-744-2868,37.944175,-84.226094,Seasonal,http://www.beechspringsfarmmarket.com/,N/A,No,Yes,No,N/A,N/A,N/A,N/A
109,Clark,CRHC Freedom Metals,Recycling Centers,425 Gawthrop Drive Winchester KY 40391,859-744-7555,38.029462,-84.239474,"Mon-Fri 9- 4, Sat 8-4",http://freedommetals.com/contact/,"CRHC Freedom Metals, LLC, one of the regionâ€™s largest scrap dealers, offers great prices on all types of ferrous and nonferrous metals. Fax: 859.744.7559",N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, ESCRAP",6,"Dropoff, broker",Commercial recycler
110,Clark,Stuff Recycling,Recycling Centers,6169 Lexington Ave Winchester KY 40391,859-745-7882,38.028928,-84.278781,N/A,http://www.stuffrecycling.com/,"Bring your ferrous scrap (metal that sticks to a magnet like iron, steel or an automobile) or nonferrous scrap (like aluminum, copper, brass, and wire) and get paid in cash.",N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,"Handler, dropoff, broker",Commercial recycler
111,Clark,Walmart Supercenter - Winchester,Recycling Centers,1859 Bypass Rd Winchester KY 30391,859-744-5070,37.988068,-84.210719,N/A,N/A,N/A,N/A,N/A,N/A,CARBAT,1,"Dropoff, other",Automotive service
112,Clark,Winchester Municipal Utilities Recycling Center,Recycling Centers,150 Maple Street Winchester KY 40391,859-744-1170,37.997074,-84.176483,24/7,http://www.wmutilities.com/Views/public/Content.aspx?,"WMU Voluntary Recycling Center at 175 N. Maple Street is open 24 hours per day, 7 days per week. The Recycling Center is located behind WMU's Main Office at 150 N. Main Street; however, it is only accessible from the WMU N. Maple Street entrance. Any questions please call 859-744-1170",N/A,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, WHITE, ONP, ESCRAP",9,"Dropoff, curbside",Government facility
113,Clark,Clark County Community Services,Community Services,"30 Taylor Ave, Winchester, KY 40391",859-744-5034,37.995868,-84.184881,Mon-Fri 9-2,http://www.clarkcountyCommunity Servicesservices.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,Clark,Clark County Child Support,Family Services,"7 Cleveland Ave, Winchester, KY 40391",859-744-1124,37.993238,-84.177484,Mon-Fri 8-4,https://csws.chfs.ky.gov/csws/General/Landing.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115,Clark,Evergreen Community Support - Winchester,Community Services,"11 S Highland St, Winchester, KY 40391, USA",859-745-0111,37.992306,-84.17525,Mon-Fri 9-5,https://www.facebook.com/evergreenCommunity Servicessupports/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,Clark,National Youth Advocate Program - Winchester,Community Services,"104 W Broadway St, Winchester, KY 40391",859-385-4669,37.994025,-84.179014,Mon-Fri 8-4:30,https://www.nyap.org/nyap-locations/kentucky.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,Clark,Clark County Public Library,Library,370 South Burns Avenue Winchester KY 40391-1876,859-744-5661,37.988408,-84.18845,"Mon-Thurs 9-8, Fri 9-5:30, Sat 9-5pm, Sun 1-5",http://www.clarkbooks.org,N/A,N/A,N/A,N/A,N/A,N/A,"Hoopla ebooks, job help, youth services",
118,Clark,Clark County Extension,Cooperative Extension Offices,"1400 Fortune Drive Winchester, KY 40391-8292",859-744-4682,38.021198,-84.179057,Mon-Fri 8-4:30,http://clark.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
119,Clay,Walmart - Manchester,Grocery,"240 Manchester Square Shpg Center, Manchester, KY 40962",606-598-6123,37.140824,-83.772833,"Everyday, 6-11pm",https://www.walmart.com/store/545/manchester-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
120,Clay,Manchester IGA #1,Grocery,"414 Manchester Square, Manchester, KY 40962",606-598-6232,37.138297,-83.775499,"Mon-Sat 7-9, Sun 9-9",https://manchesteriga1.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
121,Clay,Save-a-Lot - Garrard,Grocery,"120 Garrard Square, Garrard, KY 40921",606-598-0041,37.118853,-83.741236,Everyday 8-9,https://savealot.com/grocery-stores/garrard-40921-23697/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
122,Clay,Save-a-Lot - Fall Rock,Grocery,4833 US 421 Fall Rock KY 40932,606-598-3057,37.214932,-83.787049,Everyday 8-9,https://savealot.com/grocery-stores/fall-rock-40932-23331/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
123,Clay,Highway Produce Market,Produce Market,"Highway 421 N Manchester, Kentucky 40962",606-598-1804,37.137447,-83.768123,Seasonal,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
124,Clay,Pineview Farms,Farm,"174 State Hwy 1524, Manchester, KY 40962",606-598-5326,37.085614,-83.694523,Seasonal,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A
125,Clay,Clay County Community Farmers' Market,Farmer's Market,"86 Muddy Gap Rd. Manchester, Kentucky 40962",606-598-2789,37.1398,-83.76943,Seasonal,https://www.facebook.com/claycountycommunityfarmersmarket/,N/A,No,Yes,Yes,N/A,N/A,N/A,N/A
126,Clay,Clay County Child Support,Family Services,"102 Walters St # 1, Manchester, KY 40962",606-598-8415,37.155536,-83.759203,Mon-Fri 8-4:30,https://csws.chfs.ky.gov/csws/General/Landing.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
127,Clay,Children's Services - Manchester,Family Services,"239 Richmond Rd, Manchester, KY 40962",606-598-0796,37.155536,-83.759203,Mon-Fri 8-4:30,https://csws.chfs.ky.gov/csws/General/Landing.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128,Clay,Clay County community-Based services,Family Services,"25 Marcum Hill Rd, Manchester, KY 40962",606-598-2027,37.161653,-83.765967,Mon-Fri 8-4:30,https://chfs.ky.gov/agencies/dcbs/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
129,Clay,Daniel Boone Community Action Agency - Manchester,Community Services,"33 Marcum Hill Rd, Manchester, KY 40962",606-598-5127,37.155536,-83.759203,Mon-Fri 8-4:30,http://danielboonecaa.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
130,Clay,Clay County Public Library,Library,211 Bridge Street Manchester KY 40962-1203,606-598-2617,37.154081,-83.761274,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-1",http://www.claycountyLibrary.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Free computer access, free community room, bookmobile, ebooks, online test prep, free classes",
131,Clay,Clay County Extension,Cooperative Extension Offices,"69 Jameson Road Manchester, KY 40962-0421",606-598-2789,37.136403,-83.75981,Mon-Fri 8-4:30,http://clay.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132,Clinton,IGA - Albany,Grocery,"120 Westview Shopping Center, Albany, KY 42602",606-387-5117,36.69894,-85.143803,"Mon-Thurs 7-8, Friday, Sat 7-9, Sun 7-8",https://www.myiga.com/,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A
133,Clinton,Save-a-Lot - Albany,Grocery,"415 Burkesville Rd, Albany, KY 42602",606-387-8034,36.696793,-85.141252,Everyday 8-9,https://savealot.com/grocery-stores/albany-42602-23469/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
134,Clinton,Clinton County Farmers' Market,Farmers' Market,"19 Mountain View Park Way Albany, KY 42602",606-688-4337,36.715554,-85.136474,Seasonal,https://www.clintoncoky.com/listing/clinton-county-farmers-market/,N/A,No,No,Yes,N/A,N/A,N/A,N/A
135,Clinton,Clinton County Recycling Center,Recycling Centers,136 Clinton Street Albany KY 42602,606-688-2746,36.687488,-85.129532,N/A,https://clintoncounty.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPSORT, ONP",8,"Dropoff, curbside",Government facility
136,Clinton,Morrison Recycling & TS,Recycling Centers,235 Transfer Station Road Albany KY 42602,606-387-9902,36.751328,-85.201057,Mon-Fri 7-4,N/A,N/A,N/A,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ONP, UO, MRP",9,"Process, dropoff",Commercial recycler
137,Clinton,Cabinet for Healthy and Family Services - Albany,Family Services,"801 Tennessee Rd D, Albany, KY 42602",606-387-6655,36.682599,-85.129864,Mon-Fri 8-4:30,https://chfs.ky.gov/Pages/index.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,Clinton,Lake Cumberland Community Action - Albany,Community Services,"110 Spring St # A, Albany, KY 42602",606-387-5880,36.6894582,-85.1345326,Mon-Fri 8-4:30,http://www.lc-caa.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139,Clinton,Kentucky Career Center - Albany,Career Services,"2353 North Highway 127 Albany, KY 42602",606-387-8082,36.718607,-85.13557,"Mon-Wed 8-4, Fri 8-4",https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
140,Clinton,Clinton County Public Library,Library,"302 King Drive Albany, KY 42602-1603",606-387-5989,36.710746,-85.13553,"Mon 8-5, Tues 8-6:30, Wed 8-5, Fri 8-5, Sat 8-noon",http://clintoncountypublicLibrary.org,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
141,Clinton,Clinton County Extension,Cooperative Extension Offices,"2601 Business 127 North Albany, KY 42602",606-387-5404,36.722291,-85.13565,"Mon-Fri 7:30-4, closed daily 12-1",http://clinton.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
142,Cumberland,IGA - Burkesville,Grocery,"116 Keen St, Burkesville, KY 42717",270-864-2234,36.784193,-85.373069,"Mon-Thurs 7-8, Friday, Sat 7-9, Sun 7-8",https://www.myiga.com/,N/A,No,No,N/A,N/A,N/A,N/A,N/A
143,Cumberland,Kountry Kitchen Store,Grocery,"8459 Glasgow Rd, Burkesville, KY 42717",270-864-9200,36.830672,-85.492428,"Tues-Fri 8-5, Sat 8-4",kountrykitchenstore.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
144,Cumberland,Burksville Farmers Market,Farmer's Market,"204 South Main Street Burkesville, Kentucky 42717",270-433-7400,36.715554,-85.136474,Seasonal,https://www.facebook.com/cumberlandcountyfood/,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A
145,Cumberland,Cumberland County Recycling Program,Recycling Centers,"1805 South Main Street, Burkesville KY 42717",270-406-2707,36.770243,-85.359474,"Mon and Fri 7-3,  Tues and Thurs 7-11",https://cumberlandcounty.ky.gov/deptsagen/Pages/Re,N/A,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPSORT, ST CANS, ONP, ESCRAP, MRP, RUB",11,Dropoff,Government facility
146,Cumberland,Scott's Scrap Yard,Recycling Centers,1012 Free Ferry Rd Burkesville KY 42717,270-433-6111,36.77019,-85.36435,N/A,N/A,N/A,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,"Dropoff, broker",Commercial recycler
147,Cumberland,Social Service Department - Burkesville,Community Services,"232 Keen St, Burkesville, KY 42717",270-864-3834,36.782962,-85.372177,Mon-Fri 8-4:30,https://www.lcdhd.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
148,Cumberland,Cumberland County Family Resources,Family Services,"353 N Main St, Burkesville, KY 42717",270-864-1262,36.794691,-85.368805,Mon-Fri 8-4:30,https://www.cland.k12.ky.us/Administration/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149,Cumberland,Lake Cumberland Community Action - Burkesville,Community Services,"Courthouse, Burkesville, KY 42717",270-864-4386,36.790142,-85.370545,Mon-Fri 8-4:30,http://www.lc-caa.org/index.php,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,Cumberland,US Rural Development,Community Services,"202 N Main St, Burkesville, KY 42717",270-864-2631,36.791507,-85.36901,Mon-Fri 8-4:30,https://www.rd.usda.gov/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,Cumberland,Kentucky Career Center - Burkesville,Career Services,"213 Upper Street Burkesville, KY 42717",270-864-9316,36.789241,-85.368685,Wed-Thurs 8-3:30,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,Cumberland,Cumberland County Public Library,Library,"114 Hill Street P.O. Box 440 Burkesville, KY 42717-0440",270-864-2207,36.790841,-85.371266,"Mon-Fri,8:30-4:50, Sat 8:30-11:50",http://cumberlandcountyLibrary.org,N/A,N/A,N/A,N/A,N/A,N/A,"Free computer access, free WiFi, bookmobilee, genealogy resources, printing services",
153,Cumberland,Cumberland County Extension,Cooperative Extension Offices,"90 Smith Grove Road Burkesville, KY 42717-0039",270-433-7700,36.774577,-85.36112,"Mon-Fri 7:30-4, closed daily 12-1",cumberland.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
154,Elliott,Save-a-Lot - Sandy Hook,Grocery,"1930 N, KY-7, Sandy Hook, KY 41171",606-738-6968,38.109284,-83.11457,"Everyday, 8-9",https://savealot.com/grocery-stores/sandy-hook-41171-45149/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
155,Elliott,Elliott County Farmers Market,Farmer's Market,"2944 South Kentucky 7 Sandy Hook, KY 41171",606-738-6400,38.067075,-83.164341,Seasonal,https://www.facebook.com/ElliottCountyFarmersMarkett/?fref=ts%2Fpath#anchor,N/A,No,No,Yes,N/A,N/A,N/A,N/A
156,Elliott,Cabinet for Health and Family Services,Family Services,"Route 5, Box 1900, Junior Street Sandy Hook, KY 41171",606-738-5193,38.089942,-83.127031,Mon-Fri 8-4:30,https://elliottcounty.ky.gov/Departments/Pages/Cabinet-for-Health-and-Family Services-Services.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
157,Elliott,Elliott County Christian Community Center,Family Services,"157 Main St, Sandy Hook, KY 41171",606-738-4095,38.086384,-83.126255,Mon-Fri 8-4:30,https://www.facebook.com/pages/category/Religious-Organization/Elliott-County-Christian-Community Services-Center-Inc-ecccc-Inc-202844313086684/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158,Elliott,Kentucky Career Center - Sandy Hook,Community Services,"400 Main St, Sandy Hook, KY 41171",606-738-5796,38.085896,-83.127245,Mon-Fri 8:30-5,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159,Elliott,Elliott County Christian Community Center,Community Services,"157 Main St, Sandy Hook, KY 41171",606-738-4095,38.086378,-83.126253,Mon-Fri 10-4,https://www.facebook.com/pages/category/Religious-Organization/Elliott-County-Christian-Community Services-Center-Inc-358544607604109/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,Elliott,Rocky J. Adkins Public Library,Library,"207 S KY-7 P.O. 750 Sandy Hook, KY 41171-0750",606-738-5796,38.089746,-83.126258,Mon-Frid 8:30-5,https://www.facebook.com/ECPLRocks/,N/A,N/A,N/A,N/A,N/A,N/A,Ebooks,N/A
161,Elliott,Elliott County Extension,Cooperative Extension Offices,"2944 S KY 7 Sandy Hook, KY 41171-0709",606-738-6400,38.067335,-83.164643,Mon-Fri 8-4:30,http://elliott.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
162,Estill,Price Less Foods - Irvine,Grocery,"1012 Winchester Rd, Irvine, KY 40336",606-723-5338,37.71242,-83.97595,Everyday 8-9,https://www.mypricelessfoods.com/,N/A,yes,Yes,N/A,N/A,N/A,N/A,N/A
163,Estill,Save-a-Lot - Irvine,Grocery,"1290 Richmond Rd, Irvine, KY 40336",606-723-6372,37.699971,-83.993775,"Mon-Fri 8-9, Sat 8-10, Sun 8-9",https://savealot.com/grocery-stores/irvine-40336-24650/,N/A,yes,Yes,N/A,N/A,N/A,N/A,N/A
164,Estill,Estill County Farmers' Market,Farmer's Market,"30 South Irvine Road, Irvine, KY 40336",606-726-0679,37.694176,-83.977737,Seasonal,https://www.facebook.com/estillcountyfarmersmarket/,N/A,maybe this year,maybe,Yes,N/A,N/A,N/A,N/A
165,Estill,Advanced Disposal,Recycling Centers,2700 Winchester Rd Irvine KY 40336,606-723-5552,37.737238,-83.984627,N/A,https://www.advanceddisposal.com/for-home.aspx,N/A,N/A,N/A,N/A,"GL, AL, PL( HDPE, PET), OPMIX, ST CANS, ONP, MRP",7,curbside,commercial recycler
166,Estill,C & S Re Cycling,Recycling Centers,5565 Richmond Rd Irvine KY 40336,606-723-9101,37.701965,-84.064336,N/A,N/A,Scrap Metal Dealer,N/A,N/A,N/A,"AL, NONFE, ST CANS",3,"Dropoff, broker",commercial recycler
167,Estill,Cox Recycling,Recycling Centers,485 McKee Road Irvine KY 40336,606-599-7793,37.701965,-84.064336,N/A,N/A,"We purchase all ferrous materials copper, aluminum, etc, all non magnetic metals. We purchase all non ferrous materials which includes appliances, and any other magnetic metals. We specialize in escrap, (computer equipment, electronic and all there components.",N/A,N/A,N/A,"AL, FE, NONFE, ST CANS, ESCRAP",5,"Dropoff, broker",Commercial recycler
168,Estill,Estill County Recycling Center,Recycling Centers,532 Kirkland Ave Irvine KY 40336,606-723-5580,37.682957,-83.957684,Mon-Thurs 7-5:30,http://estillky.com/index.php/estill-road-department-rec,Containers should be rinsed and lids removed.,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP, MRP",11,"Dropoff, curbside",Government facility
169,Estill,Schools Family Resource Center,Family Services,"155 Riverview Rd, Irvine, KY 40336",606-723-7733,37.701158,-83.987825,Mon-Fri 8-4:30,https://www.estill.k12.ky.us/WII/Content2/frc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Estill,Community-Based Services - Irvine,Community Services,"102 Mack St, Irvine, KY 40336",606-723-5124,37.699871,-83.975874,Mon-Fri 8-4:30,https://kentucky.gov/health/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171,Estill,American Red Cross - Irvine,Community Services,"177 Broadway St, Irvine, KY 40336",606-723-1914,37.700457,-83.972406,Mon-Fri 8-4:30,https://www.redcross.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172,Estill,Estill County Public Library,Library,"246 Main Street Irvine, KY 40336-1099",606-723-3030,37.702929,-83.974995,"Mon-Fri 10-6, Sat 10-3",https://estillpublib.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Free computer access, free WiFi, free notary services, printing services, bookmobile, computer classes",
173,Estill,Estill County Extension,Cooperative Extension Offices,"76 Golden Court Irvine, KY 40336",606-723-4557,37.699596,-84.008125,Mon-Fri 8-4:30,http://estill.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
174,Fleming,Save-a-Lot - Flemingsburg,Grocery,"201 S Main Cross St, Flemingsburg, KY 41041",606-845-0647,38.421209,-83.734411,Everyday 9-9,https://savealot.com/grocery-stores/flemingsburg-41041-24147/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
175,Fleming,Dollar General - Flemingsburg,Grocery,"112 Clark St., Flemingsburg, KY 41041",937-795-4560,38.41866,-83.735902,Everyday 7-11pm,https://www.dollargeneral.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
176,Fleming,Ken's Fresh Foods,Grocery,"110 Clark St, Flemingsburg, KY 41041",606-849-2366,38.418104,-83.737131,Everyday 7-9,https://www.kensfreshfoods.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
177,Fleming,Dinner Bell Country Market,Produce Market,"1532 Maysville Rd, Flemingsburg, KY 41041",606-849-1919,38.442272,-83.741988,N/A,https://www.facebook.com/TheDinnerBellCountryMarket/,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A
178,Fleming,Fleming County Farmer's market,Farmer's Market,"1384 Elizaville Rd, Flemingsburg, KY 41041",606-845-4641,38.420921,-83.759612,Seasonal,located at the fleming county cooperative Cooperative Extension Offices parking lot https://www.facebook.com/flemingcountyfarmersmarket/,N/A,No,No,Yes,N/A,N/A,N/A,N/A
179,Fleming,Flemingsburg City Maintenance Garage,Recycling Centers,140 West Electric Ave Flemingsburg KY 41041,606-845-9307,38.422285,-83.735947,N/A,http://www.flemingcountyky.us/road.asp,N/A,N/A,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, WHITE, ONP, MRP",8,"Dropoff, curbside",Government facility
180,Fleming,Social Service Department - Flemingsburg,Family Services,"102 Clark St, Flemingsburg, KY 41041",606-723-5146,38.418829,-83.736135,Mon-Fri 8-4:30,https://www.dcfoffices.org/office/ky_40336_estill-county-dcf-office,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
181,Fleming,Licking Valley Community Action,Community Services,"203 High St Flemingsburg, KY 41041",606-845-0081,38.4153237,-83.7387011,Mon-Fri 8-4:30,http://www.lvcap.com/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
182,Fleming,Habitat for Humanity - Flemingsburg,Community Services,"117 W Main St, Flemingsburg, KY 41041",N/A,38.418829,-83.736135,Mon-Fri 8-4:30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
183,Fleming,Fleming County Public Library,Library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3",http://www.youseemore.com/fleming,N/A,N/A,N/A,N/A,N/A,N/A,"ebooks, bookmobile, children services, book clubs",
184,Fleming,Fleming County Extension,Cooperative Extension Offices,"1384 Elizaville Rd Flemingsburg, KY 41041-0192",606-845-4641,38.420911,-83.759437,"Mon - Fri 8:30-5, closed daily 12-1",http://fleming.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
185,Floyd,McDowell IGA,Grocery,"9623 KY-122, McDowell, KY 41647",606-377-6911,37.458511,-82.749136,"Mon-Sat 7-10, Sun 9-9",https://mcdowelliga.net/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
186,Floyd,Martin IGA,Grocery,"12405 Main St, Martin, KY 41649",606-285-3932,37.564116,-82.758651,"Mon-Sat 7-9, Sun 8-9",https://martiniga.net/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
187,Floyd,Food City - Prestonsburg,Grocery,"429 University Dr, Prestonsburg, KY 41653",606-889-9375,37.685445,-82.782326,Mon-Sat 6-12am,https://www.foodcity.com/stores/store-details/471/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=471,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
188,Floyd,Save-a-Lot - Prestonsburg,Grocery,"525 Village Dr, Prestonsburg, KY 41653",606-886-2230,37.655555,-82.782755,Everyday 8-9,https://savealot.com/grocery-stores/prestonsburg-41653-24611/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
189,Floyd,Walmart - Prestonsburg,Grocery,"477 Village Dr, Prestonsburg, KY 41653",606-886-6681,37.655316,-82.78193,Everyday 6-11pm,https://www.walmart.com/store/696/prestonsburg-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
190,Floyd,Triangle Market,Grocery,"98 Triangle Street, Martin, KY 41649",606-285-3513,37.560926,-82.760854,Mon-Fri,https://www.facebook.com/TriangleMarket,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
191,Floyd,Save-a-Lot - Martin,Grocery,"39 Stephens Branch, Martin, KY 41649",606-285-9700,37.555682,-82.772569,"Mon-Sat 8-9, Sun 9-8",https://savealot.com/grocery-stores/martin-41649-23505/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
192,Floyd,Big O's Produce,Produce Market,"600 US Highway 23 S Prestonsburg, Kentucky 41653",606-791-7041,37.641357,-82.756793,N/A,https://www.facebook.com/pages/category/Local-Business/Big-Os-Produce-327331827840212/,N/A,No,No,N/A,N/A,N/A,N/A,N/A
193,Floyd,Farmer's Market - Prestonsburg,Farmer's Market,"361 N. Lake Drive Prestonsburg, Ky 41653",606-339-4424,37.675444,-82.778566,Seasonal,https://www.facebook.com/Floydcfmarket/,Contact: Gary Gearheart. Located on the right hand corner https://www.facebook.com/Floydcfmarket/,"Yes, when we can get the machine to work....",No,Yes,N/A,N/A,N/A,N/A
